ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-12 21:42:14-05:00,129,0,233950,428754188895267376,309075928913522747,364029668033209573,233950,433041730741344630,312166688171750381,367669964713541668,29792335554275712,49658203190798768,-19865867636523056,578,105912578222,83326303857,168911666
2021-12-12 21:50:35-05:00,130,3,63127,855254549989388457,825670874551233001,840332536710116676,63127,898017277403332424,866954418196227563,882349163545622509,47681903257581873,34873816688319020,12808086569262853,70,12260406678,23027832973,54071243
2021-12-15 00:23:06-05:00,131,0,233950,443967455499097932,304484487045315962,367669964713541668,233950,448407130009692165,307529331885320672,371346664360677084,33837718406516436,64629310800792794,-30791592394276358,767,118940013930,93225931562,391416598
2021-12-15 00:24:50-05:00,132,3,63127,917317469908800574,848713855288357163,882349163545622509,63127,935663819215244838,865688132309252920,899996146816534959,48916408875511418,55408514811716715,-6492105936205297,84,20896151678,30939899512,5335305
2021-12-15 00:25:19-05:00,133,2,4320000,14245469762007056,12704451517279456,13452913436586484,4320000,14259715230344516,12717155967526290,13466366350023070,701831857070124,1650982166351687,-949150309281563,299,27630163027,18188092692,27933120
2021-12-15 15:28:48-05:00,134,0,233950,427727046001909003,322398002232446861,371346664360677084,233950,432004316419155388,325621982222531529,375060131004283854,39520736657237212,49632245043730408,-10111508386493196,801,124992086746,99300063602,43767600
2021-12-15 15:29:33-05:00,135,0,233950,431473022550995924,326022936584232739,375060131004283854,233950,435787752733358580,329283165917472772,378810732314326692,39952030064631569,49532244582965301,-9580214518333732,802,125001467064,99270514406,38929514
2021-12-15 15:30:33-05:00,136,0,233950,435361854534991597,329605291372588677,378810732314326692,233950,457129947218204991,346085555908257581,397751268930043026,39932055438843188,49086371758809937,-9154316319966749,799,125012895162,99112719450,169223054
2021-12-15 15:31:12-05:00,137,0,233950,457761887864840214,345607784591651467,397751268930043026,233950,462339506697712427,349063862403007203,401728781619343456,39300114792207965,49086371758809937,-9786256966601972,799,125024072621,99085702700,38194209
2021-12-15 15:33:05-05:00,138,2,4320000,13889616552467390,13056013604696623,13466366350023070,4320000,13903506167630895,13069069616995718,13479832716373093,723539540243734,1302591171648171,-579051631404437,297,29655284082,19842828388,10661760
2021-12-16 08:53:48-05:00,139,0,233950,450283076600536992,358410125469880209,401728781619343456,233950,472797230385535533,376330631707533206,421815220700310628,46436264342147385,44166091211573922,2270173130573463,771,129902834144,103910239263,10048153
2021-12-16 08:55:53-05:00,140,0,233950,472552560239850350,376525481787977183,421815220700310628,233950,496180188204587611,395351755839723493,442905981735326159,46450714157789849,43935870881531203,2514843276258646,770,129931362198,103927011329,11755988
2021-12-16 10:52:56-05:00,141,0,233950,496468004161611037,395122559787512313,442905981735326159,233950,521291404320044788,414878687737375672,465051280822092466,47415204696782894,45188177377547674,2227027319235220,774,130494930440,104479270232,8778272
2021-12-16 10:53:15-05:00,142,0,233950,521292479664341506,414877831986998884,465051280822092466,233950,521292479664341506,414877831986998884,465051280822092466,47414666436367948,45188714461429446,2225951974938502,774,130494950460,104479290252,0
2021-12-16 10:54:31-05:00,143,0,233950,521291405503538806,414878686874496212,465051280822092466,233950,547355975726586605,435622621176733153,488303844863197089,47415203513288876,45188177377547674,2227026135741202,774,130495010459,104470986538,8363713
2021-12-17 21:07:30-05:00,144,1,56849000,3545293431658159,2866191269730666,3187709064901013,56849000,3544938901960463,2865904650317073,3187390293994522,67257794036579,421120331240380,-353862537203801,363,68509295159,34283616177,-20067697
2021-12-17 21:09:12-05:00,145,1,56849000,3543103485849825,2867389261088349,3187390293994522,56849000,3542749175146929,2867102521875501,3187071554965122,67257794036579,419284915129742,-352027121093163,361,68517735077,34311953245,-19897150
2021-12-17 21:13:13-05:00,146,1,56849000,3538041354592298,2870917572312627,3187071554965122,56849000,3534503312883901,2868046654453222,3183884483410156,68093565661788,415412866200320,-347319300538532,361,68539423314,34527212327,-193570845
2021-12-20 20:18:08-05:00,147,0,233950,567612292718045886,420076605047423765,488303844863197089,233950,573288415588465115,424277371055890342,493186883311829059,27439497033503095,45468787889221174,-18029290855718079,1037,149986563556,123291352828,104681864
2021-12-20 20:24:03-05:00,148,0,233950,574910257155496819,423080470114221714,493186883311829059,233950,580659359669560761,427311274773055884,498118752144947349,27436732350912819,47087864773662602,-19651132422749783,1037,150014565052,123196653164,122701160
2021-12-20 20:28:03-05:00,149,0,233950,581253086064823812,426874793763706293,498118752144947349,233950,587065616867346741,431143541658655876,503099939666396822,27321695813912111,47566554631924945,-20244858818012834,1035,150028246935,123081619267,128715780
2021-12-20 20:39:31-05:00,150,0,233950,586772055518832541,431359242335644138,503099939666396822,233950,592639776015343660,435672834715864655,508130939063060790,27421695813859327,47372993283357961,-19951297469498634,1034,150046521815,122976147698,123746449
2021-12-22 12:25:48-05:00,151,0,233950,573150711286616818,450487186264680031,508130939063060790,233950,578882218342167915,454992058082278112,513212248453691397,33072054090581070,33534286831352862,-462232740771792,1154,161351610201,134161052540,65974
2021-12-11 21:48:14-05:00,120,4,86706,610212955856846532,600812389474244441,605494429451249047,86706,668183186602225656,657889566414216423,663016400249117706,6163443095263421,10578713939639577,-4415270844376156,23,3607448600,3092950590,23991897
2021-12-11 21:49:23-05:00,121,3,63127,534889840406977080,497213299381894853,515707613240883088,63127,585704375192150918,544448562773453534,564699836498766981,47133739347259256,49467840705685274,-2334101358426018,75,9807529313,20703514555,5228241
2021-12-11 22:22:42-05:00,122,3,63127,584342839042199828,545717144175878214,564699836498766981,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,861684
2021-12-11 22:22:59-05:00,123,3,63127,642192780048943327,599743141394718442,620605120312144912,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,0
2021-12-11 22:24:22-05:00,124,3,63127,641879976999869567,600035410292491684,620605120312144912,63127,705426094658668656,659438915851444819,682045027223047258,47142263844282393,47802026003683561,-659762159401168,77,9837488159,20731058965,360455
2021-12-11 22:25:41-05:00,125,3,63127,705426094658668656,659438915851444819,682045027223047258,63127,775263277959334243,724723368454793964,749567484918128936,47142263844282393,47802026003683561,-659762159401168,77,9837488159,20730731273,327692
2021-12-11 22:27:03-05:00,126,3,63127,774871519677025984,725089773180300401,749567484918128936,63127,851583800047564404,796873660652641163,823774665925023700,47143957956782241,47411961833875150,-268003877092909,77,9839801162,20732995794,48482
2021-12-12 19:54:05-05:00,127,3,63127,832746909682877327,814899091583909186,823774665925023700,63127,841074378779706100,823048082499748277,832012412584273937,49709089135693783,31140202648099615,18568886487594168,70,11800908619,22642825585,24237169
2021-12-12 20:34:49-05:00,128,3,63127,841937137554475612,822204679918296128,832012412584273937,63127,850356508845826654,830426726635258621,840332536710116676,49622102456042600,31915974743217944,17706127712824656,71,11995424521,22815317422,21804824
