ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-13 20:01:25-04:00,318465,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,10,16483351540723,-359811203902182697,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:01:25-04:00,318466,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,8,-653025500,999223414278,174540101468949,1647212402,174605454771449,94158339170854
2022-03-13 20:01:25-04:00,318467,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,7,16219709901166,-9478064183662097,262512548642314,1647212401,265133822137622,262683677573147
2022-03-13 20:01:27-04:00,318468,GJmom1dyridk7QkcvxYr1jUeQr6sT5yMnmQ6LJEqSq22,6tSYWuTpo57phZVwLZ4jEAod4w4dKfAwRVitjzGKXq9y,10,67610328088120,-1475849949902885824,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:01:52-04:00,318469,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,FYg8h1LKJwxtAuLqzRVTgNrbJrDjzgYAhkkgKKkWGiWm,0,-625938259221,302855296542836,1567517894779520,0,1567724573766603,496294863870377
2022-03-13 20:01:52-04:00,318470,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,FYg8h1LKJwxtAuLqzRVTgNrbJrDjzgYAhkkgKKkWGiWm,1,1094837876879,-646584249549,484857985971304958,1647212414,1036684273559063068,485027312378133291
2022-03-13 20:01:52-04:00,318471,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,FYg8h1LKJwxtAuLqzRVTgNrbJrDjzgYAhkkgKKkWGiWm,3,-983454941221,-273263716200919,-309902265308631,0,-251264938768719,-310262157560297
2022-03-13 20:01:52-04:00,318472,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,FYg8h1LKJwxtAuLqzRVTgNrbJrDjzgYAhkkgKKkWGiWm,4,-1000115489786,345148502981269,266907235016576,0,267196998837409,100589568175652
2022-03-13 20:01:52-04:00,318473,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,FYg8h1LKJwxtAuLqzRVTgNrbJrDjzgYAhkkgKKkWGiWm,2,-323418883927,5817037871243,50357434003836872,1647212426,50362993859060205,39806259667799374
2022-03-13 20:02:00-04:00,318474,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,4,29234104725484,-10088942312205619,100299804354819,1647212404,267196998837409,100589568175652
2022-03-13 20:02:20-04:00,318475,BYYAWHAJpxpfrtg2vMUx8TPDv6jtt2NUBcQfbe33ZKoY,DK8RcrPJ5rEWCFi2C2439Byx8ucQ6a59cvwsEeTbxyv6,3,6191297124904,1720319650185190,-250905046517053,0,-251264938768719,-310262157560297
2022-03-13 20:02:22-04:00,318476,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,E4Cg1W5Ewr5sRdUbzYRGy9TtRsKEHF9oMHiimrCoz6RB,0,1018760722,-492919351549,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:02:22-04:00,318477,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,E4Cg1W5Ewr5sRdUbzYRGy9TtRsKEHF9oMHiimrCoz6RB,3,-529118385,-147021332869,-309902265308631,1647212414,-251264938768719,-310262157560297
2022-03-13 20:02:22-04:00,318478,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,E4Cg1W5Ewr5sRdUbzYRGy9TtRsKEHF9oMHiimrCoz6RB,7,13036429681302,-7617899333470788,262512548642314,1647212401,265133822137622,262683677573147
2022-03-13 20:02:22-04:00,318479,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,E4Cg1W5Ewr5sRdUbzYRGy9TtRsKEHF9oMHiimrCoz6RB,8,3275441227466,-5011898560851440,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:02:22-04:00,318480,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,E4Cg1W5Ewr5sRdUbzYRGy9TtRsKEHF9oMHiimrCoz6RB,10,62167949339457,-1357049544244477309,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:02:28-04:00,318481,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,4,83923188937749,-28962618140694984,100299804354819,1647212404,267196998837409,100589568175652
2022-03-13 20:02:28-04:00,318482,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,0,5439737614001,-2631974198623982,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:02:28-04:00,318483,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,6,92008009483922,-800001473647659587,11556821615764,1647212401,13783528840526,11568322595764
2022-03-13 20:02:28-04:00,318484,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,3,59250243689503,16463328514360661,-250905046517053,1647212414,-251264938768719,-310262157560297
2022-03-13 20:02:46-04:00,318485,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,2,21974561630936,-395236220157598,39800699812576041,1647212426,50362993859060205,39806259667799374
2022-03-13 20:02:46-04:00,318486,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,0,111641345441466,-54016785652540921,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:02:46-04:00,318487,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,11,4600604020941,-814634978124810,113850590002818,1647212445,114415334231151,114415334231151
2022-03-13 20:02:46-04:00,318488,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,1,123832435532675,-73132382510319,484857985971304958,1647212414,1036684273559063068,485027312378133291
